sample_id,beta2_deg,Z_blades,b2_D2,D1_D2,phi_deg,A8_mm2,eta_cfd_pct,eta_physics_pct,eta_hybrid_surrogate_pct,H_cfd_m,NPSHr_m
P3-001,22.84,6,0.0608,0.4762,127.8,1841,80.529,79.273,80.532,31.517,5.735
P3-002,21.23,5,0.0473,0.5449,114.7,1825,65.259,64.323,64.915,31.764,6.495
P3-003,24.39,5,0.0486,0.5279,115.5,2049,76.909,81.658,76.134,32.083,6.307
P3-004,24.73,6,0.0454,0.43,103.6,1903,72.809,73.322,73.188,32.226,5.223
P3-005,23.66,8,0.0734,0.4478,103.5,2186,75.559,75.646,76.212,31.206,5.42
P3-006,23.69,6,0.0747,0.4693,123.1,2235,79.488,79.267,80.228,31.17,5.659
P3-007,19.93,6,0.0513,0.5207,129.1,2295,73.96,78.493,74.126,31.486,6.227
P3-008,29.19,7,0.0622,0.434,100.7,2415,80.154,82.845,81.003,32.196,5.268
P3-009,27.25,8,0.0551,0.4753,96.3,1952,78.838,79.359,78.964,32.204,5.724
P3-010,28.27,8,0.066,0.5021,126.6,1927,79.05,81.948,78.153,31.971,6.021
P3-011,28.46,7,0.0606,0.454,104.5,2487,82.75,86.627,84.39,32.165,5.489
P3-012,22.11,8,0.0506,0.4432,130.5,2170,76.303,78.793,76.18,31.759,5.369
P3-013,23.11,7,0.0458,0.4664,120.6,1973,77.502,79.66,76.332,32.028,5.626
P3-014,31.67,6,0.0526,0.5156,121.7,2468,78.194,82.844,77.814,32.788,6.171
P3-015,20.29,7,0.0679,0.4819,125.4,2111,78.861,80.135,78.412,30.998,5.797
P3-016,29.81,6,0.06,0.4698,108.2,1887,82.089,83.34,82.701,32.34,5.664
P3-017,27.36,5,0.0583,0.5428,106.5,2063,78.344,78.663,77.051,32.115,6.472
P3-018,20.43,8,0.0737,0.4277,116.6,1860,68.69,69.436,68.213,30.828,5.197
P3-019,25.11,7,0.0591,0.5397,110.3,2375,81.57,82.479,80.798,31.832,6.438
P3-020,31.45,6,0.0542,0.4506,109.2,1939,79.259,83.091,79.416,32.712,5.451
P3-021,25.49,6,0.0558,0.5,124.3,2366,85.883,91.075,85.661,31.979,5.998
P3-022,30.08,7,0.0638,0.4852,126.0,1871,81.46,85.306,81.069,32.249,5.834
P3-023,19.56,6,0.0529,0.5088,130.0,1807,70.643,69.43,70.349,31.393,6.096
P3-024,25.72,8,0.052,0.462,112.9,1988,81.866,89.63,82.521,32.127,5.577
P3-025,29.38,7,0.0547,0.4846,101.7,2228,83.588,80.818,84.637,32.461,5.828
P3-026,21.46,6,0.0665,0.4916,133.5,2449,78.067,81.283,78.071,31.175,5.905
P3-027,22.39,6,0.0672,0.5362,99.3,2014,73.184,78.084,71.904,31.261,6.399
P3-028,20.72,5,0.0727,0.5231,113.9,2341,71.217,69.914,71.489,30.893,6.255
P3-029,30.84,7,0.0698,0.4385,119.4,2261,79.246,77.389,79.678,32.142,5.317
P3-030,18.62,7,0.0497,0.505,118.4,2276,74.195,77.496,74.481,31.389,6.054
P3-031,28.68,7,0.0465,0.4219,95.0,2162,74.31,79.58,74.322,32.642,5.133
P3-032,27.83,6,0.0703,0.4961,98.6,2088,77.438,76.126,78.302,31.783,5.955
P3-033,18.76,6,0.048,0.4403,134.5,2420,68.133,68.089,69.147,31.459,5.337
P3-034,21.76,7,0.0577,0.549,106.0,2212,77.453,81.112,76.971,31.493,6.541
P3-035,30.56,7,0.0615,0.4884,132.9,2143,83.104,86.713,83.339,32.378,5.87
P3-036,19.12,5,0.0653,0.5341,97.2,2463,64.882,70.981,64.8,30.947,6.376
P3-037,26.69,7,0.0715,0.5108,109.6,2386,80.977,78.878,81.343,31.613,6.118
P3-038,31.11,5,0.0686,0.4556,121.0,2315,75.812,75.764,74.867,32.212,5.506
P3-039,24.2,7,0.0647,0.5184,131.6,2023,80.906,81.705,81.156,31.547,6.202
P3-040,26.27,5,0.0635,0.5293,117.5,2076,79.329,83.77,78.594,31.823,6.322
P3-041,26.54,6,0.0714,0.4244,101.6,2320,78.008,82.293,78.27,31.599,5.161
P3-042,18.22,8,0.0569,0.4589,111.3,2125,72.381,73.04,72.468,31.112,5.542
