Q_m3h,H_cfd_twin_m,H_surrogate_twin_m,eta_cfd_twin_pct,eta_surrogate_twin_pct,is_bep
22.5,151.5,151.5,26.39,26.39,False
27.43,150.479,150.479,30.406,30.406,False
32.36,149.257,149.257,37.215,37.215,False
37.29,147.833,147.833,43.466,43.466,False
42.21,146.208,146.208,49.158,49.158,False
47.14,144.381,144.381,54.292,54.292,False
52.07,142.353,142.353,58.868,58.868,False
57.0,140.123,140.123,62.885,62.885,False
61.93,137.691,137.691,66.344,66.344,False
66.86,135.058,135.058,69.245,69.245,False
71.79,132.224,132.224,71.587,71.587,False
76.71,129.188,129.188,73.372,73.372,False
81.64,125.95,125.95,74.597,74.597,False
86.57,122.511,122.511,75.265,75.265,False
91.5,118.871,118.863,75.374,75.367,True
96.43,115.029,114.996,74.925,74.893,False
101.36,110.985,110.929,73.918,73.861,False
106.29,106.74,106.663,72.352,72.27,False
111.21,102.293,102.197,70.228,70.121,False
116.14,97.645,97.531,67.546,67.414,False
121.07,92.795,92.667,64.305,64.149,False
126.0,87.744,87.604,60.506,60.325,False
